[2026-05-21 19:56:24,972] INFO 启动服务: http://localhost:5000
[2026-05-21 19:56:25,007] INFO [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2026-05-21 19:56:25,008] INFO [33mPress CTRL+C to quit[0m
[2026-05-21 19:56:27,236] INFO 127.0.0.1 - - [21/May/2026 19:56:27] "GET / HTTP/1.1" 200 -
[2026-05-21 19:56:27,252] INFO 127.0.0.1 - - [21/May/2026 19:56:27] "GET /static/templates.json HTTP/1.1" 200 -
[2026-05-21 19:56:27,429] INFO 127.0.0.1 - - [21/May/2026 19:56:27] "GET /static/135_templates.json HTTP/1.1" 200 -
[2026-05-21 19:56:27,623] INFO 127.0.0.1 - - [21/May/2026 19:56:27] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2026-05-21 19:56:27,738] INFO 127.0.0.1 - - [21/May/2026 19:56:27] "GET /api/status HTTP/1.1" 200 -
[2026-05-21 19:56:27,747] INFO 127.0.0.1 - - [21/May/2026 19:56:27] "GET /api/files HTTP/1.1" 200 -
[2026-05-21 19:56:28,038] INFO 127.0.0.1 - - [21/May/2026 19:56:28] "POST /api/preview HTTP/1.1" 200 -
[2026-05-21 19:56:39,605] INFO 正在启动微信登录...
[2026-05-21 19:56:39,605] INFO 127.0.0.1 - - [21/May/2026 19:56:39] "POST /api/login HTTP/1.1" 200 -
[2026-05-21 19:56:42,742] INFO 正在打开微信公众号后台...
[2026-05-21 19:57:02,798] INFO 登录成功！token: 149415605, uin: 
[2026-05-21 19:57:02,800] INFO 登录完成，浏览器保持打开
[2026-05-21 19:57:02,801] INFO 微信登录成功
[2026-05-21 19:57:02,801] INFO 127.0.0.1 - - [21/May/2026 19:57:02] "GET /api/status HTTP/1.1" 200 -
[2026-05-21 19:57:03,109] INFO 127.0.0.1 - - [21/May/2026 19:57:03] "GET /api/status HTTP/1.1" 200 -
[2026-05-21 19:57:03,426] INFO 127.0.0.1 - - [21/May/2026 19:57:03] "GET /api/status HTTP/1.1" 200 -
[2026-05-21 19:57:03,740] INFO 127.0.0.1 - - [21/May/2026 19:57:03] "GET /api/status HTTP/1.1" 200 -
